,F,initialLearningRate,learningRateDecay,regularization,momentum,min_train_loss,min_val_loss
56,8,0.01,0.1,4e-06,0.5,1.1105332633758809,1.1587925161074206
57,8,0.01,0.1,4e-06,0.99,1.1096472737932686,1.1563337724661338
58,8,0.01,0.1,5e-06,0.5,1.1111299714628817,1.1557140945705977
59,8,0.01,0.1,5e-06,0.99,1.110467996814024,1.1603592692235678
60,8,0.01,0.1,1e-05,0.5,1.1121130333141043,1.1530295871640448
61,8,0.01,0.1,1e-05,0.99,1.111385498305846,1.1534506037552719
62,8,0.01,0.1,2e-05,0.5,1.11223879004518,1.1582435975198275
63,8,0.01,0.1,2e-05,0.99,1.109396041500458,1.1546501391471706
64,8,0.01,0.1,3e-05,0.5,1.1118922386436862,1.1555991171678974
65,8,0.01,0.1,3e-05,0.99,1.1092649630052367,1.1538392116940155
66,8,0.01,0.1,4e-05,0.5,1.1090587061207873,1.151792003850253
67,8,0.01,0.1,4e-05,0.99,1.1112833442473775,1.1539780972581573
68,8,0.01,0.1,5e-05,0.5,1.1059954405901093,1.153943321983409
69,8,0.01,0.1,5e-05,0.99,1.1118863524540994,1.1543559596557975
70,8,0.01,0.1,0.0001,0.5,1.107848202309791,1.1521245669816018
71,8,0.01,0.1,0.0001,0.99,1.114577291552843,1.1547206797131973
72,8,0.01,0.1,0.0002,0.5,1.11121697552573,1.1550425186483908
73,8,0.01,0.1,0.0002,0.99,1.1117768162258528,1.1585298034178477
74,8,0.01,0.1,0.0003,0.5,1.1091092210275222,1.1486731456678938
75,8,0.01,0.1,0.0003,0.99,1.1132739901353625,1.1502112500917647
76,8,0.01,0.1,0.0004,0.5,1.1118387440757542,1.1597814587647772
77,8,0.01,0.1,0.0004,0.99,1.1087863280190617,1.1604881456830678
78,8,0.01,0.1,0.0005,0.5,1.1097387339641693,1.1551376089384096
79,8,0.01,0.1,0.0005,0.99,1.1112068449245913,1.1573503458137444
80,8,0.01,0.1,0.001,0.5,1.1141296712373945,1.1551308162441505
81,8,0.01,0.1,0.001,0.99,1.1115161278113965,1.1518529082348694
82,8,0.01,0.1,0.002,0.5,1.110002317362548,1.152720781463209
83,8,0.01,0.1,0.002,0.99,1.108972398830943,1.153658292808908
84,8,0.01,0.1,0.003,0.5,1.1147760548201273,1.151008167076876
85,8,0.01,0.1,0.003,0.99,1.1107254155580262,1.1540773274427656
86,8,0.01,0.1,0.004,0.5,1.1109776398035587,1.155063349994038
87,8,0.01,0.1,0.004,0.99,1.1118221896309046,1.155218360591993
88,8,0.01,0.1,0.005,0.5,1.11116709777103,1.1552052700699886
89,8,0.01,0.1,0.005,0.99,1.1151306756494204,1.1585195011832239
90,8,0.01,0.1,1.0,0.5,1.1485367726350362,1.181337929585344
91,8,0.01,0.1,1.0,0.99,1.1446918332240477,1.1811163708074999
92,8,0.01,0.1,2.0,0.5,1.1688347895088107,1.200057879297506
93,8,0.01,0.1,2.0,0.99,1.160399195688713,1.1919661623394973
94,8,0.01,0.1,3.0,0.5,1.17926447768806,1.2096603052597055
95,8,0.01,0.1,3.0,0.99,1.169310285548677,1.203010853262786
96,8,0.01,0.1,4.0,0.5,1.1868694957138775,1.215025788926739
97,8,0.01,0.1,4.0,0.99,1.1791334288016193,1.2047290419983132
98,8,0.01,0.1,5.0,0.5,1.1894982220999557,1.2163164709317693
99,8,0.01,0.1,5.0,0.99,1.1833674874656623,1.2110987908213782
100,8,0.1,0.01,1e-06,0.5,0.9203507001464571,1.1533305767120456
101,8,0.1,0.01,1e-06,0.99,1.0006899580313102,1.1393922543465131
102,8,0.1,0.01,2e-06,0.5,0.8741853712783072,1.1358521563976647
103,8,0.1,0.01,2e-06,0.99,0.9973689407402324,1.1567319018834075
104,8,0.1,0.01,3e-06,0.5,0.9094573316613028,1.147252095529429
105,8,0.1,0.01,3e-06,0.99,0.9717952014480055,1.1395985306512755
106,8,0.1,0.01,4e-06,0.5,0.9119928030280577,1.1414048770061853
107,8,0.1,0.01,4e-06,0.99,1.0754210783455929,1.1479904178815183
108,8,0.1,0.01,5e-06,0.5,0.9106119389672797,1.167404208739672
109,8,0.1,0.01,5e-06,0.99,1.0359046211021508,1.1464422477479292
110,8,0.1,0.01,1e-05,0.5,0.9225760969143523,1.1457624259944126
111,8,0.1,0.01,1e-05,0.99,0.9928499065405181,1.149979533164665
112,8,0.1,0.01,2e-05,0.5,0.8845851241217983,1.1398167282345546
113,8,0.1,0.01,2e-05,0.99,0.9653013840572465,1.1616893805707282
114,8,0.1,0.01,3e-05,0.5,0.9308814801844075,1.1456827088928216
115,8,0.1,0.01,3e-05,0.99,0.9579245269258522,1.1538134250453096
116,8,0.1,0.01,4e-05,0.5,0.908271119230402,1.1641779734984772
117,8,0.1,0.01,4e-05,0.99,0.9950292681350534,1.1507529935598781
118,8,0.1,0.01,5e-05,0.5,0.9073916581060724,1.147148525176453
119,8,0.1,0.01,5e-05,0.99,0.934180951739216,1.1434022748618757
120,8,0.1,0.01,0.0001,0.5,0.9235625176659221,1.1632553756361677
121,8,0.1,0.01,0.0001,0.99,1.0097174006895338,1.1437223732149635
122,8,0.1,0.01,0.0002,0.5,0.9185380014554871,1.146634234928864
123,8,0.1,0.01,0.0002,0.99,0.9547749803146565,1.1347406541602512
124,8,0.1,0.01,0.0003,0.5,0.9227010400819478,1.150647008558755
125,8,0.1,0.01,0.0003,0.99,1.0451662039491671,1.1486491070318994
126,8,0.1,0.01,0.0004,0.5,0.8874600016428148,1.1558790349222057
127,8,0.1,0.01,0.0004,0.99,1.0239569626807887,1.1408426574012995
128,8,0.1,0.01,0.0005,0.5,0.9153084130612408,1.1585681438423232
129,8,0.1,0.01,0.0005,0.99,0.9407610190969093,1.1395462368354257
130,8,0.1,0.01,0.001,0.5,0.8970968513348166,1.1631013373536512
131,8,0.1,0.01,0.001,0.99,0.9959455245242623,1.1365155326156855
132,8,0.1,0.01,0.002,0.5,0.8973794762164593,1.1502652454105673
133,8,0.1,0.01,0.002,0.99,0.9664151981223496,1.1467443451751784
134,8,0.1,0.01,0.003,0.5,0.9506662776277709,1.1654008228423327
135,8,0.1,0.01,0.003,0.99,0.9887677183460643,1.1672735634425258
136,8,0.1,0.01,0.004,0.5,0.9106833371214618,1.1255190469639338
137,8,0.1,0.01,0.004,0.99,1.0043043322660712,1.165331873204786
138,8,0.1,0.01,0.005,0.5,0.9086166161632033,1.148240543132532
139,8,0.1,0.01,0.005,0.99,0.9948304351153502,1.1544943031247885
140,8,0.1,0.01,1.0,0.5,1.1362598669035477,1.182051213065096
141,8,0.1,0.01,1.0,0.99,1.1331367456736423,1.1800076676357791
142,8,0.1,0.01,2.0,0.5,1.1547739033643216,1.193971498379475
143,8,0.1,0.01,2.0,0.99,1.1463523556689852,1.1940542434613823
144,8,0.1,0.01,3.0,0.5,1.1671047293207253,1.2015374073138132
145,8,0.1,0.01,3.0,0.99,1.1645071531555653,1.1836598240609992
146,8,0.1,0.01,4.0,0.5,1.1772440596689935,1.2097971070250013
147,8,0.1,0.01,4.0,0.99,1.1677963143236534,1.1988476675790054
148,8,0.1,0.01,5.0,0.5,1.177590168171153,1.21090601377735
149,8,0.1,0.01,5.0,0.99,1.1701430681820713,1.198720973083731
150,8,0.1,0.1,1e-06,0.5,0.9515571209093934,1.1511766958732745
151,8,0.1,0.1,1e-06,0.99,1.0520342074543432,1.1534780908167142
152,8,0.1,0.1,2e-06,0.5,0.902481367490882,1.1440972227292596
153,8,0.1,0.1,2e-06,0.99,0.9809100952303799,1.1428533183425538
154,8,0.1,0.1,3e-06,0.5,0.9134188617576435,1.147248528713137
155,8,0.1,0.1,3e-06,0.99,0.986398203328877,1.144404743416685
156,8,0.1,0.1,4e-06,0.5,0.9015590504339265,1.1483969347971454
157,8,0.1,0.1,4e-06,0.99,0.9625798804001303,1.1381089095579795
158,8,0.1,0.1,5e-06,0.5,0.9191064615756294,1.1427490604953667
159,8,0.1,0.1,5e-06,0.99,0.9742489693834128,1.1396647647777312
160,8,0.1,0.1,1e-05,0.5,0.9144166223244894,1.1420198990908694
161,8,0.1,0.1,1e-05,0.99,1.0002044350511787,1.162936419933827
162,8,0.1,0.1,2e-05,0.5,0.9334942980748361,1.142540309601081
163,8,0.1,0.1,2e-05,0.99,0.9903025963489881,1.1348120642666393
164,8,0.1,0.1,3e-05,0.5,0.928390663052945,1.1524891576761385
165,8,0.1,0.1,3e-05,0.99,1.0407454817673136,1.1420232906141357
166,8,0.1,0.1,4e-05,0.5,0.9284774884342994,1.1268410331027954
167,8,0.1,0.1,4e-05,0.99,0.9904053327567572,1.1520864525551846
168,8,0.1,0.1,5e-05,0.5,0.9191175990061047,1.1439452342391379
169,8,0.1,0.1,5e-05,0.99,1.0220527136400668,1.1572054809749257
170,8,0.1,0.1,0.0001,0.5,0.9469384497972375,1.1629898422061333
171,8,0.1,0.1,0.0001,0.99,0.9974921561172531,1.159579806005539
172,8,0.1,0.1,0.0002,0.5,0.9176220660463097,1.1415615683394047
173,8,0.1,0.1,0.0002,0.99,0.9862487021214502,1.1702808606496387
174,8,0.1,0.1,0.0003,0.5,0.9083942184970547,1.1364142612207293
175,8,0.1,0.1,0.0003,0.99,1.0034805956526078,1.1539540559524868
176,8,0.1,0.1,0.0004,0.5,0.9791693253043806,1.168774609096831
177,8,0.1,0.1,0.0004,0.99,0.9989622842542708,1.1455786061567637
178,8,0.1,0.1,0.0005,0.5,0.9584288561826898,1.1534867043240227
179,8,0.1,0.1,0.0005,0.99,0.9958296953709312,1.1366475883703717
180,8,0.1,0.1,0.001,0.5,0.9231504913744312,1.139276248860203
181,8,0.1,0.1,0.001,0.99,0.9813997163851105,1.1467134448277077
182,8,0.1,0.1,0.002,0.5,0.9362794683752549,1.157337774554031
183,8,0.1,0.1,0.002,0.99,0.9661107181437125,1.1439272100398514
184,8,0.1,0.1,0.003,0.5,0.9543185450674158,1.1510620979839568
185,8,0.1,0.1,0.003,0.99,1.0476871486075234,1.1491064885964746
186,8,0.1,0.1,0.004,0.5,0.9421030359983857,1.1655475119762642
187,8,0.1,0.1,0.004,0.99,0.9735063040159229,1.1502428552804025
188,8,0.1,0.1,0.005,0.5,0.9200513441379418,1.151337364945497
189,8,0.1,0.1,0.005,0.99,0.9936779199189599,1.1513018751611657
190,8,0.1,0.1,1.0,0.5,1.1295061591347613,1.1778861591174807
191,8,0.1,0.1,1.0,0.99,1.1280581797000486,1.1901625162731082
192,8,0.1,0.1,2.0,0.5,1.1574797752745434,1.1979618348553134
193,8,0.1,0.1,2.0,0.99,1.1382026405536632,1.1821306980093398
194,8,0.1,0.1,3.0,0.5,1.1697019449030923,1.2032474892959433
195,8,0.1,0.1,3.0,0.99,1.157657716880008,1.2001691715824818
196,8,0.1,0.1,4.0,0.5,1.17599224231532,1.2051083103812161
197,8,0.1,0.1,4.0,0.99,1.1715800525474611,1.2051212195380328
198,8,0.1,0.1,5.0,0.5,1.1813028643680161,1.2107886660206706
199,8,0.1,0.1,5.0,0.99,1.1675847998949425,1.2024345455135024
200,8,1.0,0.01,1e-06,0.5,1.08449939080543,1.2057258196162568
